PermitNum,AppliedDate,PermitType,PermitClass,PermitClassGroup,PermitClassMapped,WorkClass,Description
BP2014-02792,2014/03/06,Commercial / Multi Family Project,4002 - Vacant,General,Non-Residential,New,New one storey building
BP2014-07981,2014/05/30,Commercial / Multi Family Project,7001 - Public Retaining Wall,Retaining Wall,Non-Residential,New,New retaining wall
BP2014-02181,2014/02/21,Commercial / Multi Family Project,7104 - Special Function - Class 2,Special Function Ten,Non-Residential,New,Special Function Class 2
BP2014-05145,2014/04/16,Commercial / Multi Family Project,7104 - Special Function - Class 2,Special Function Ten,Non-Residential,New,Stampede Tent
BP2014-07631,2014/05/27,Commercial / Multi Family Project,4002 - Vacant,General,Non-Residential,New,
BP2014-00128,2014/01/07,Commercial / Multi Family Project,5115 - University Of Calgary,Institutional,Non-Residential,New,New Student Residence building
BP2014-06722,2014/05/12,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,East Village Street Fair
BP2014-08788,2014/06/11,Commercial / Multi Family Project,3608 - Restaurant,Commercial,Non-Residential,New,Starbucks Mcknight & Aviation
BP2014-07100,2014/05/16,Commercial / Multi Family Project,7104 - Special Function - Class 2,Special Function Ten,Non-Residential,New,LOCAL 510 SLED ISLAND TENT
BP2014-03432,2014/03/18,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,New Retail Building
BP2014-09368,2014/06/20,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,River Cafe Stampede Lunch
BP2014-08076,2014/06/02,Commercial / Multi Family Project,5303 - Special Care Facility,Institutional,Non-Residential,New,Sage Hill Senior Residence & Care Facility
BP2014-06175,2014/05/05,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,World Partnership Walk 2014
BP2014-02383,2014/02/26,Commercial / Multi Family Project,2199 - Indust/Manufacture Misc.,Industrial,Non-Residential,New,New Building
BP2013-16123,2013/10/28,Commercial / Multi Family Project,7002 - Private Retaining Wall,Retaining Wall,Non-Residential,New,Retaining wall behind five title parcels
BP2013-17389,2013/11/21,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Special Function
BP2014-03436,2014/03/18,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,"New Retail Building, Building A6"
BP2014-04731,2014/04/09,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Communica Stampede BBQ
BP2014-11269,2014/07/22,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Bowness Heritage Day Street Festival
BP2014-08362,2014/06/05,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Canada Diagnostic Centres - Stampede BBQ
BP2014-01603,2014/02/07,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Special Function
BP2014-07493,2014/05/23,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Betty's Run for ALS  2014
BP2013-17083,2013/11/14,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,5 storey commercial office development
BP2013-14742,2013/10/01,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,SPECIAL FUNCTION - FLAMES HOME OPENER TAILGATE
BP2014-03440,2014/03/18,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,"New Retail Building, B3"
BP2014-12067,2014/08/01,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,
BP2014-06289,2014/05/06,Commercial / Multi Family Project,7003 - Public / Private Retaining Wall,Retaining Wall,Non-Residential,New,
BP2014-08430,2014/06/06,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Samsung MMVA Wakeboarding Event & Concert
BP2014-10145,2014/07/02,Commercial / Multi Family Project,"5111 - School, Separate",Institutional,Non-Residential,New,Installation of one portable classroom on the north west pod.
BP2013-18780,2013/12/20,Commercial / Multi Family Project,3510 - Recreation Facility,Commercial,Non-Residential,New,Temporary Building
BP2014-09383,2014/06/20,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Fiestaval Latin Festival
BP2013-18466,2013/12/13,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,special function tent
BP2013-18711,2013/12/19,Commercial / Multi Family Project,3107 - Shopping Centre,Commercial,Non-Residential,New,New Commercial Building
BP2014-03770,2014/03/24,Commercial / Multi Family Project,3203 - Warehouse,Commercial,Non-Residential,New,Home Depot RDC Distribution Facility & Guardhouse
BP2014-04314,2014/04/02,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,special function
BP2013-18094,2013/12/06,Commercial / Multi Family Project,3107 - Shopping Centre,Commercial,Non-Residential,New,New 1 storey building
BP2014-03439,2014/03/18,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,"New Retail Building, Building B2"
BP2013-18619,2013/12/18,Commercial / Multi Family Project,5303 - Special Care Facility,Institutional,Non-Residential,New,New
BP2014-08588,2014/06/09,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,March for Jesus 2014
BP2014-02065,2014/02/19,Commercial / Multi Family Project,"3403 - Office, Medical",Commercial,Non-Residential,New,New chiropractic office building with retail
BP2014-06465,2014/05/08,Commercial / Multi Family Project,3304 - Repair Garage,Commercial,Non-Residential,New,New Ward Tire Office/Warehouse
BP2014-04227,2014/04/01,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Special Function
BP2014-03298,2014/03/14,Commercial / Multi Family Project,2411 - Sewage Treatment,Industrial,Non-Residential,New,New 1 storey waste water treatment plant
BP2014-04932,2014/04/11,Commercial / Multi Family Project,3203 - Warehouse,Commercial,Non-Residential,New,"New 1 storey building (Point Trotter, Building 2)"
BP2014-06953,2014/05/14,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,
BP2013-16744,2013/11/07,Commercial / Multi Family Project,3599 - Recreation Misc.,Commercial,Non-Residential,New,New building
BP2014-09082,2014/06/16,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Symons Valley Ranch Farmers Market
BP2014-12280,2014/08/07,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Taste of Calgary
BP2014-10020,2014/06/30,Commercial / Multi Family Project,3510 - Recreation Facility,Commercial,Non-Residential,New,New 2 storey building
BP2014-11066,2014/07/17,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Ironman 70.3 Calgary
BP2014-04777,2014/04/10,Commercial / Multi Family Project,3510 - Recreation Facility,Commercial,Non-Residential,New,New one storey building
BP2014-07417,2014/05/22,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Calgary Humane Society's Dog Jog 2014
BP2014-11671,2014/07/28,Commercial / Multi Family Project,"5103 - University, Mt Royal",Institutional,Non-Residential,New,Mt Royal University - Riddell Library & Learning Centre
BP2014-09056,2014/06/16,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,U of C Presidents BBQ
BP2014-07970,2014/05/30,Commercial / Multi Family Project,7104 - Special Function - Class 2,Special Function Ten,Non-Residential,New,
BP2014-09081,2014/06/16,Commercial / Multi Family Project,3302 - Dealership,Commercial,Non-Residential,New,South Trail Dodge new dealership
BP2013-14380,2013/09/25,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Special Function - Class 1
BP2014-10980,2014/07/16,Commercial / Multi Family Project,3302 - Dealership,Commercial,Non-Residential,New,New South Trail Kia Automotive Dealership
BP2014-09306,2014/06/19,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Mount Royal Community Association Stampede BBQ
BP2014-02566,2014/03/03,Commercial / Multi Family Project,3799 - Personal Service. Misc.,Commercial,Non-Residential,New,New one storey building.
BP2013-15651,2013/10/17,Commercial / Multi Family Project,6299 - Provincial/Commercial Misc.,Government,Non-Residential,New,New
BP2013-17949,2013/12/03,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Special Function
BP2014-02170,2014/02/21,Commercial / Multi Family Project,2399 - Indust/Utility Misc.,Industrial,Non-Residential,New,New 1 storey building
BP2013-15711,2013/10/18,Commercial / Multi Family Project,3599 - Recreation Misc.,Commercial,Non-Residential,New,New one storey building
BP2014-08338,2014/06/05,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,"Social gathering, touring through building"
BP2014-09392,2014/06/20,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Calgary Minor Football Jamboree 2014
BP2013-14615,2013/09/27,Commercial / Multi Family Project,2199 - Indust/Manufacture Misc.,Industrial,Non-Residential,New,NEW BUILDING
BP2014-03431,2014/03/18,Commercial / Multi Family Project,3401 - Bank,Commercial,Non-Residential,New,New Building A1 (First of A1 thru A6) Shell
BP2014-11978,2014/07/31,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,The Orchard (Temporary Sales Centre)
BP2014-04804,2014/04/10,Commercial / Multi Family Project,2507 - Veterinary Clinic,Industrial,Non-Residential,New,New Pet Hospital
BP2014-07412,2014/05/22,Commercial / Multi Family Project,7003 - Public / Private Retaining Wall,Retaining Wall,Non-Residential,New,
BP2014-07464,2014/05/23,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Private Stampede Party
BP2014-00344,2014/01/10,Commercial / Multi Family Project,2106 - Building Prod,Industrial,Non-Residential,New,1 storey sales centre
BP2013-17323,2013/11/20,Commercial / Multi Family Project,2399 - Indust/Utility Misc.,Industrial,Non-Residential,New,New Garbage Room
BP2014-09639,2014/06/24,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Jayman Stampede Special Function
BP2014-01785,2014/02/12,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,YYC Specialized Cargo Facility
BP2014-02562,2014/03/03,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,New temporary sales trailer
BP2014-10358,2014/07/07,Commercial / Multi Family Project,6305 - Fire,Government,Non-Residential,New,New Emergency Response 2-Storey Building
BP2014-06972,2014/05/15,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,Temporary Sales Centre Trailer
BP2014-08024,2014/06/02,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Felesky Flynn Stampede Breakfast
BP2014-07305,2014/05/21,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Shopper's Drug Mart Run for Women 2014
BP2014-09898,2014/06/27,Commercial / Multi Family Project,3399 - Motor-Vehicle Misc.,Commercial,Non-Residential,New,Storage Shed
BP2014-09835,2014/06/26,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Kinnear Classic BBQ 2014+
BP2014-08001,2014/05/30,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,Construction of a two story mixed use office/retail building.
BP2014-12215,2014/08/06,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,New 1 storey office building
BP2014-07614,2014/05/27,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Baker Hughes Stampede Breakfast
BP2014-02871,2014/03/07,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Special Function Tent
BP2014-09305,2014/06/19,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Canada Day Fort Calgary
BP2014-16719,2014/10/23,Commercial / Multi Family Project,6306 - Parks,Government,Non-Residential,New,New Sadleridge Parks Depot building
BP2014-08029,2014/06/02,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,USED VEHICLE COMPOUND SALE
BP2014-04537,2014/04/07,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,Bluebird Building #3
BP2014-09313,2014/06/19,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Premier's Stampede Breakfast
BP2014-18814,2014/12/08,Commercial / Multi Family Project,3109 - Retail Food Store,Commercial,Non-Residential,New,New 1 Storey Retail Building
BP2014-06509,2014/05/08,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,
BP2014-08950,2014/06/13,Commercial / Multi Family Project,4002 - Vacant,General,Non-Residential,New,
BP2014-07752,2014/05/28,Commercial / Multi Family Project,7002 - Private Retaining Wall,Retaining Wall,Non-Residential,New,New retaining walls
BP2014-16885,2014/10/27,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,Oxford Airport Business Park - Bldgs. H & I
BP2014-11699,2014/07/28,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Calgary Arab Festival 2014
BP2014-04954,2014/04/14,Commercial / Multi Family Project,3399 - Motor-Vehicle Misc.,Commercial,Non-Residential,New,New BMW Gallery Royal Oak building
BP2014-08547,2014/06/09,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Kidco Construction Stampede Breakfast
BP2014-10168,2014/07/03,Commercial / Multi Family Project,4002 - Vacant,General,Non-Residential,New,
BP2014-08027,2014/06/02,Commercial / Multi Family Project,7104 - Special Function - Class 2,Special Function Ten,Non-Residential,New,NATIONAL ON 10TH SPECIAL FUNCTION
BP2014-09615,2014/06/24,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Festival of Chariots
BP2014-05074,2014/04/15,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Calgary Maple Festival des Sucres 2014
BP2014-07804,2014/05/29,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Concept Electric Customer Employee Appreciation BBQ
BP2014-13877,2014/09/04,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Special Event - Nuit Blanche
BP2014-07725,2014/05/28,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Pattison Outdoor Stampede BBQ
BP2014-11262,2014/07/22,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Inglewood Sunfest
BP2014-12862,2014/08/15,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,New Park & Jet Kiosk Building
BP2014-09385,2014/06/20,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Calgary Folk Festival 2014 - Prince's Island
BP2014-08206,2014/06/04,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Sled Island 2014
BP2014-07740,2014/05/28,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Inglewood Night Market
BP2014-04321,2014/04/02,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Special Function
BP2014-07142,2014/05/16,Commercial / Multi Family Project,5302 - Senior Citizen Homes,Institutional,Non-Residential,New,PHASE 1. WING 1 & 2 Residential Seniors Apartment
BP2014-06764,2014/05/13,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Night Race
BP2014-13179,2014/08/21,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Inglewood Night Market
BP2014-09951,2014/06/27,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,New Brighton (Temporary Sales Centre)
BP2014-13168,2014/08/21,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Celebrate in The Park
BP2014-13876,2014/09/04,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Special Event JDRF Ride for Diabetes Research
BP2014-13669,2014/09/02,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Special Event
BP2014-19383,2014/12/23,Commercial / Multi Family Project,"5109 - School, Public",Institutional,Non-Residential,New,Royal Oak 5-9 school
BP2014-06174,2014/05/05,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Gallery Calorie Tour 2014
BP2014-05651,2014/04/24,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,2 years Temporary Show Suite
BP2014-09948,2014/06/27,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,ABCRC Stampede BBQ
BP2014-10624,2014/07/10,Commercial / Multi Family Project,3507 - Community Centre,Commercial,Non-Residential,New,Oakridge Racquet Club Tennis Shack
BP2014-09664,2014/06/25,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Inglewood Night Market
BP2014-19576,2014/12/31,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Freestyle World Cup 2015
BP2014-14005,2014/09/05,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Speical Event
BP2014-09009,2014/06/16,Commercial / Multi Family Project,7104 - Special Function - Class 2,Special Function Ten,Non-Residential,New,Booker's Stampede Function 2014
BP2014-18863,2014/12/09,Commercial / Multi Family Project,"3403 - Office, Medical",Commercial,Non-Residential,New,New 2 storey building
BP2014-13035,2014/08/19,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Special Event
BP2014-19387,2014/12/23,Commercial / Multi Family Project,3109 - Retail Food Store,Commercial,Non-Residential,New,Sobeys Nolan Hill
BP2014-19314,2014/12/22,Commercial / Multi Family Project,"5109 - School, Public",Institutional,Non-Residential,New,New School K to 4
BP2014-09789,2014/06/26,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Mission Geospatial Stampede BBQ
BP2014-04728,2014/04/09,Commercial / Multi Family Project,3608 - Restaurant,Commercial,Non-Residential,New,New Commercial Building - restaurant
BP2014-05697,2014/04/25,Commercial / Multi Family Project,2306 - Parking Garage,Industrial,Non-Residential,New,New Storage/Repair Garage
BP2014-06920,2014/05/14,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,
BP2014-13951,2014/09/05,Commercial / Multi Family Project,4002 - Vacant,General,Non-Residential,New,8 Meter high decorative windmill
BP2015-00082,2015/01/07,Commercial / Multi Family Project,2399 - Indust/Utility Misc.,Industrial,Non-Residential,New,South Calgary Gate Meter Station
BP2014-05967,2014/04/30,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Special Function - International Migratory Bird Day - 2080 sf.ft.
BP2014-05548,2014/04/23,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Special Function
BP2014-13503,2014/08/27,Commercial / Multi Family Project,7104 - Special Function - Class 2,Special Function Ten,Non-Residential,New,Calgary Velodrome SEACAN storage/admin space
BP2014-07868,2014/05/29,Commercial / Multi Family Project,3107 - Shopping Centre,Commercial,Non-Residential,New,Bri-mor - West 85th 1-Storey Building
BP2014-05447,2014/04/22,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Southcentre Mall Tenant Stampede BBQ
BP2014-13039,2014/08/19,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Alberta Des Punjab Times 2014 - Cultural Event
BP2014-10603,2014/07/10,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Sun and Salsa Festival 2014
BP2014-04231,2014/04/01,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Special Function
BP2014-17972,2014/11/19,Commercial / Multi Family Project,3201 - Bulk Storage,Commercial,Non-Residential,New,Fabric storage building for City of Calgary.
BP2014-08806,2014/06/12,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Breakfast on the Bridge
BP2014-06945,2014/05/14,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,
BP2014-10683,2014/07/11,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,New Bus Storage Maintenance Facility
BP2014-11347,2014/07/23,Commercial / Multi Family Project,"3403 - Office, Medical",Commercial,Non-Residential,New,4-Storey Office Building
BP2014-07079,2014/05/16,Commercial / Multi Family Project,3899 - Community Service Misc.,Commercial,Non-Residential,New,New building
BP2014-11117,2014/07/18,Commercial / Multi Family Project,2399 - Indust/Utility Misc.,Industrial,Non-Residential,New,Paint Booth building
BP2014-16764,2014/10/24,Commercial / Multi Family Project,3299 - Storage/Warehouse Misc.,Commercial,Non-Residential,New,New storage and garbage/recycling building
BP2014-08697,2014/06/10,Commercial / Multi Family Project,2408 - Sewage Station,Industrial,Non-Residential,New,New 2 storey building.
BP2014-06955,2014/05/14,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,
BP2014-15178,2014/09/25,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Grand Opening of the Calgary Soccer Centre
BP2014-17436,2014/11/05,Commercial / Multi Family Project,3203 - Warehouse,Commercial,Non-Residential,New,New Alberta Drywall Warehouse building
BP2014-07969,2014/05/30,Commercial / Multi Family Project,7104 - Special Function - Class 2,Special Function Ten,Non-Residential,New,
BP2014-17780,2014/11/13,Commercial / Multi Family Project,3507 - Community Centre,Commercial,Non-Residential,New,New 1 storey building
BP2014-08083,2014/06/02,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Calgary Relay For Life
BP2014-18101,2014/11/21,Commercial / Multi Family Project,3608 - Restaurant,Commercial,Non-Residential,New,New 1-stroey assembly use building
BP2014-13175,2014/08/21,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Ovarian Cancer Canada Walk of Hope 2014
BP2014-08798,2014/06/12,Commercial / Multi Family Project,7002 - Private Retaining Wall,Retaining Wall,Non-Residential,New,
BP2014-16715,2014/10/23,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Heartland Television Series - lunch for film crew
BP2014-10452,2014/07/08,Commercial / Multi Family Project,3299 - Storage/Warehouse Misc.,Commercial,Non-Residential,New,Cold Storage Shed
BP2014-03860,2014/03/25,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Special Function
BP2014-09811,2014/06/26,Commercial / Multi Family Project,3305 - Service Station,Commercial,Non-Residential,New,New 2 storey building (Mr Lube)
BP2014-03753,2014/03/24,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Special Function
BP2014-07452,2014/05/23,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Multiple Miles for Myeloma 2014
BP2014-07102,2014/05/16,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,STAMPEDE BLEACHERS
BP2014-03772,2014/03/24,Commercial / Multi Family Project,3203 - Warehouse,Commercial,Non-Residential,New,Home Depot SDC (Bldg. B) Distribution Facility & Link
BP2014-08036,2014/06/02,Commercial / Multi Family Project,2199 - Indust/Manufacture Misc.,Industrial,Non-Residential,New,55 Tech Way -  New Warehouse/Office
BP2014-08698,2014/06/10,Commercial / Multi Family Project,5203 - Lab,Institutional,Non-Residential,New,New one storey building
BP2014-05294,2014/04/21,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Serbian Fest 2014
BP2014-17006,2014/10/29,Commercial / Multi Family Project,3608 - Restaurant,Commercial,Non-Residential,New,New Building
BP2014-04536,2014/04/07,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,Bluebird Building #2
BP2014-08551,2014/06/09,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Elboya Heights Community Party
BP2014-11679,2014/07/28,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,The Brick Tent Sale
BP2014-15576,2014/10/02,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Special Event
BP2014-03985,2014/03/27,Commercial / Multi Family Project,3299 - Storage/Warehouse Misc.,Commercial,Non-Residential,New,Temporary Structure
BP2014-08640,2014/06/10,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Stampede Roundup/Oxford Stomp 2014
BP2014-18631,2014/12/03,Commercial / Multi Family Project,2199 - Indust/Manufacture Misc.,Industrial,Non-Residential,New,Calgary Metal - Shear Pad Foundation for T900 Shear Mechanical Equipment
BP2014-08409,2014/06/06,Commercial / Multi Family Project,"3403 - Office, Medical",Commercial,Non-Residential,New,Professional Office Building
BP2014-13172,2014/08/21,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,X FEST - Musical Festival - Rock Bands
BP2014-09078,2014/06/16,Commercial / Multi Family Project,6308 - Transportation,Government,Non-Residential,New,LRT Encapsulation Tunnel - New Central Library
BP2014-14625,2014/09/17,Commercial / Multi Family Project,4002 - Vacant,General,Non-Residential,New,Construction of an industrial warehouse with offices.
BP2014-11410,2014/07/23,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,New 2-Storey Industrial Building
BP2014-12525,2014/08/12,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Gospel Event and Hobbies
BP2014-14169,2014/09/09,Commercial / Multi Family Project,3111 - Warehouse Stores,Commercial,Non-Residential,New,Cal - Rid Exterminators Storage
BP2014-12533,2014/08/12,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Calgary Evergreen Festival and Resource Fair
BP2014-07844,2014/05/29,Commercial / Multi Family Project,3302 - Dealership,Commercial,Non-Residential,New,Lamborghini Calgary
BP2014-08046,2014/06/02,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Pineapple Challenge 2014
BP2014-16947,2014/10/28,Commercial / Multi Family Project,3203 - Warehouse,Commercial,Non-Residential,New,New Industrial Building
BP2014-15916,2014/10/09,Commercial / Multi Family Project,"5112 - School, Sait",Institutional,Non-Residential,New,Temporary SAIT Green Building Technologies Lab & Demonstration Centre Additions
BP2014-08815,2014/06/12,Commercial / Multi Family Project,3607 - Hotel/Motel,Commercial,Non-Residential,New,Freeport Holiday Inn - Hotel
BP2014-07866,2014/05/29,Commercial / Multi Family Project,3107 - Shopping Centre,Commercial,Non-Residential,New,Bri-mor - West 85th 1-Storey Building
BP2014-07174,2014/05/20,Commercial / Multi Family Project,7104 - Special Function - Class 2,Special Function Ten,Non-Residential,New,Ranchman's Stampede Tent
BP2014-16928,2014/10/27,Commercial / Multi Family Project,2399 - Indust/Utility Misc.,Industrial,Non-Residential,New,
BP2014-07202,2014/05/20,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,11th Calgary Korean Day Festival
BP2015-00613,2015/01/20,Commercial / Multi Family Project,3303 - Gas Bar,Commercial,Non-Residential,New,Convenience Store and Self-Service Canopy
BP2014-06767,2014/05/13,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,East Elbow Park Summer Solstice Block Party
